ticket_id,ticket_text,issue_type,urgency_level,product,clean_text
108,Payment issue fr mi SmartWatch V2. I was debited incorrectly fr order #98192.,Billing Problem,Low,SmartWatch V2,pay issue fr mi smartwatch v2 i debit incorrect fr order 98192
109,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in white?",General Inquiry,,EcoBreeze AC,can you tell me more about ecobreeze ac warranty also available white
110,Can't log in to my account. Keeps showing reset required. Help!,,Low,PhotoSnap Cam,cant log my account keep show reset requir help
111,Order #28158 for  is 6 days late. Ordered on 05 May.,Late Delivery,Medium,UltraClean Vacuum,order 28158 6 day late order 05 may
112,Can't log in to my account. Keeps showing error. Help!,Account Access,,SoundWave 300,cant log my account keep show error help
113,Is this item in stock?,General Inquiry,High,ProTab X1,item stock
114,Can't log in to mi account. Keeps showing unknown issue. Help!,Account Access,Medium,PowerMax Battery,cant log mi account keep show unknown issue help
115,I ordered RoboChef Blender but got ProTab X1 instead. My order number is #79479.,Wrong Item,Low,RoboChef Blender,i order robochef blender but got protab x1 instead my order number 79479
116,Order #85238 for PowerMax Battery is 3 days late. Ordered on 15 April.,Late Delivery,Medium,PowerMax Battery,order 85238 powermax battery 3 day late order 15 april
117,"Facing installation issue with Vision LED TV. Setup fails at step 4. Also, I contacted support on 24 April but got no response.",Installation Issue,Low,Vision LED TV,fac installation issue vision led tv setup fail step 4 also i contact support 24 april but got no response
118,Facing installation issue with FitRun Treadmill. Setup fails at step 1. Delivery expected by 19 May.,Installation Issue,Medium,FitRun Treadmill,fac installation issue fitrun treadmill setup fail step 1 delivery expect 19 may
119,Vision LED TV is malfunction. It stopped working after just 6 days.,Product Defect,High,Vision LED TV,vision led tv malfunction stopp work after just 6 day
120,Facing installation issue with UltraClean Vacuum. Setup fails at step 6.,,Medium,UltraClean Vacuum,fac installation issue ultraclean vacuum setup fail step 6
121,Order #55525 for RoboChef Blender is 1 days late. Ordered on 08 March.,Late Delivery,Low,RoboChef Blender,order 55525 robochef blender 1 day late order 08 march
122,Payment issue for my . I was overbilled for order #65725.,Billing Problem,High,Vision LED TV,pay issue my i overbill order 65725
123,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white?",General Inquiry,High,ProTab X1,can you tell me more about protab x1 warranty also available white
124,SmartWatch V2 is defective. It stopped working after just 1 days.,Product Defect,High,SmartWatch V2,smartwatch v2 defect stopp work after just 1 day
125,Vision LED TV is damaged. It stopped working after just 4 days.,,,Vision LED TV,vision led tv damag stopp work after just 4 day
126,Can't log in to my account. Keeps showing error. Help!,Account Access,High,ProTab X1,cant log my account keep show error help
127,"Can't log in to my account. Keeps showing captcha failed. Help! Also, I contacted support on 06 April but got no response.",Account Access,Low,Vision LED TV,cant log my account keep show captcha fail help also i contact support 06 april but got no response
128,Order #68715 for RoboChef Blender is 17 days late. Ordered on 19 April.,Late Delivery,Low,RoboChef Blender,order 68715 robochef blender 17 day late order 19 april
129,Product info needed.,General Inquiry,Medium,FitRun Treadmill,product info need
130,Payment issue for my FitRun Treadmill. I was overbilled for order #17828.,Billing Problem,,FitRun Treadmill,pay issue my fitrun treadmill i overbill order 17828
131,Facing installation issue with EcoBreeze AC. Setup fails at step 6.,Installation Issue,Low,EcoBreeze AC,fac installation issue ecobreeze ac setup fail step 6
132,"PhotoSnap Cam is glitchy. It stopped working after just 12 days. Also, I contacted support on 29 April but got no response.",Product Defect,High,PhotoSnap Cam,photosnap cam glitchy stopp work after just 12 day also i contact support 29 april but got no response
133,"Payment issue for my SmartWatch V2. I was underbilled for order #94863. Also, I contacted support on 09 April but got no response.",Billing Problem,High,SmartWatch V2,pay issue my smartwatch v2 i underbill order 94863 also i contact support 09 april but got no response
134,ProTab X1 is glitchy. It stopped working after just 12 days.,Product Defect,Medium,ProTab X1,protab x1 glitchy stopp work after just 12 day
135,Order #97549 for ProTab X1 is 5 days late. Ordered on 30 April.,Late Delivery,Medium,ProTab X1,order 97549 protab x1 5 day late order 30 april
136,Facing installation issue with PhotoSnap Cam. Setup fails at step 6.,Installation Issue,High,PhotoSnap Cam,fac installation issue photosnap cam setup fail step 6
137,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,PowerMax Battery,cant log my account keep show captcha fail help
138,"Order #58122 for RoboChef Blender is 9 days late. Ordered on 10 May. Also, I contacted support on 10 May but got no response.",Late Delivery,High,RoboChef Blender,order 58122 robochef blender 9 day late order 10 may also i contact support 10 may but got no response
139,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,ProTab X1,cant log my account keep show reset requir help
140,Payment issue for my UltraClean Vacuum. I was debited incorrectly for order #76140.,Billing Problem,Medium,UltraClean Vacuum,pay issue my ultraclean vacuum i debit incorrect order 76140
141,,Installation Issue,Low,Vision LED TV,nan
142,FitRun Treadmill is charged. It stopped working after just 12 days.,Product Defect,High,FitRun Treadmill,fitrun treadmill charg stopp work after just 12 day
143,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,RoboChef Blender,cant log my account keep show error help
144,I ordered EcoBreeze AC but got UltraClean Vacuum instead. My order number is #97605.,Wrong Item,High,EcoBreeze AC,i order ecobreeze ac but got ultraclean vacuum instead my order number 97605
145,Account problem. Assistance needed.,Account Access,,FitRun Treadmill,account problem assistance need
146,Payment issue for my PowerMax Battery. I was overbilled for order #18696.,Billing Problem,Low,PowerMax Battery,pay issue my powermax battery i overbill order 18696
147,SmartWatch V2 is no response. It stopped working after just 5 days. Delivery expected by 25 April.,Product Defect,High,SmartWatch V2,smartwatch v2 no response stopp work after just 5 day delivery expect 25 april
148,Vision LED TV is broken. It stopped working after just 1 days.,Product Defect,High,Vision LED TV,vision led tv broken stopp work after just 1 day
149,Facing installation issue with . Setup fails at step 2.,,High,PowerMax Battery,fac installation issue setup fail step 2
150,Order #31364 placed on 15 May still not here.,Late Delivery,High,EcoBreeze AC,order 31364 plac 15 may still here
151,Both my PowerMax Battery and FitRun Treadmill are not received. Both giving issues. Delivery expected by 16 April.,Product Defect,Low,PowerMax Battery,both my powermax battery fitrun treadmill receiv both giv issu delivery expect 16 april
152,Both my PhotoSnap Cam and Vision LED TV are faulty. Both giving issues.,Product Defect,High,PhotoSnap Cam,both my photosnap cam vision led tv faulty both giv issu
153, is not working. It stopped working after just 12 days.,Product Defect,High,ProTab X1,work stopp work after just 12 day
154,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,,ProTab X1,can you tell me more about protab x1 warranty also available blue
155,"Payment issue for my . I was not refunded for order #59838. Also, I contacted support on 14 May but got no response.",Billing Problem,Low,FitRun Treadmill,pay issue my i refund order 59838 also i contact support 14 may but got no response
156,"Can you tell me more about teh EcoBreeze AC warranty? Also, is it available in black?",General Inquiry,Low,EcoBreeze AC,can you tell me more about teh ecobreeze ac warranty also available black
157,Order #58051 for RoboChef Blender is 16 days late. Ordered on 07 March.,Late Delivery,High,RoboChef Blender,order 58051 robochef blender 16 day late order 07 march
158,Payment issue for my EcoBreeze AC. I was charged twice for order #26025.,Billing Problem,Low,EcoBreeze AC,pay issue my ecobreeze ac i charg twice order 26025
159,Order #40339 for PhotoSnap Cam is 13 days late. Ordered on 25 April.,Late Delivery,Low,PhotoSnap Cam,order 40339 photosnap cam 13 day late order 25 april
160,Payment issue fr mi RoboChef Blender. I was charged twice fr order #81706.,Billing Problem,Medium,RoboChef Blender,pay issue fr mi robochef blender i charg twice fr order 81706
161,Order #90105 for UltraClean Vacuum is 1 days late. Ordered on 03 March.,Late Delivery,Low,UltraClean Vacuum,order 90105 ultraclean vacuum 1 day late order 03 march
162,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,SoundWave 300,cant log my account keep show captcha fail help
163,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,Vision LED TV,cant log my account keep show captcha fail help
164,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white?",General Inquiry,Low,ProTab X1,can you tell me more about protab x1 warranty also available white
165,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in red?",General Inquiry,High,PowerMax Battery,can you tell me more about powermax battery warranty also available red
166,"Account problem. Assistance needed. Also, I contacted support on 12 March but got no response.",Account Access,Medium,PowerMax Battery,account problem assistance need also i contact support 12 march but got no response
167,"Can't log in to my account. Keeps showing error. Help! Also, I contacted support on 23 March but got no response.",Account Access,Low,PowerMax Battery,cant log my account keep show error help also i contact support 23 march but got no response
168,"Order #58396 for PowerMax Battery is 16 days late. Ordered on 03 April. Also, I contacted support on 03 April but got no response.",Late Delivery,High,PowerMax Battery,order 58396 powermax battery 16 day late order 03 april also i contact support 03 april but got no response
169,Payment issue for my SoundWave 300. I was not refunded for order #45749.,Billing Problem,High,SoundWave 300,pay issue my soundwave 300 i refund order 45749
170,Payment issue for my Vision LED TV. I was debited incorrectly for order #63168.,Billing Problem,High,Vision LED TV,pay issue my vision led tv i debit incorrect order 63168
171,Account problem. Assistance needed.,Account Access,High,FitRun Treadmill,account problem assistance need
172,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in blue?",General Inquiry,Low,EcoBreeze AC,can you tell me more about ecobreeze ac warranty also available blue
173,Order #84031 for SmartWatch V2 is 6 days late. Ordered on 04 March.,,Low,SmartWatch V2,order 84031 smartwatch v2 6 day late order 04 march
174,"Received wrong product, order mixed up.",Wrong Item,Medium,EcoBreeze AC,receiv wrong product order mix up
175,Can't log in to mi account. Keeps showing unknown issue. Help!,Account Access,Medium,EcoBreeze AC,cant log mi account keep show unknown issue help
176,Is this item in stock? Delivery expected by 05 May.,General Inquiry,Medium,SoundWave 300,item stock delivery expect 05 may
177,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,SoundWave 300,cant log my account keep show reset requir help
178,"Can't access my account. Also, I contacted support on 12 May but got no response.",Account Access,High,SmartWatch V2,cant acces my account also i contact support 12 may but got no response
179,Order #34198 for SmartWatch V2 is 15 days late. Ordered on 05 March.,Late Delivery,Medium,SmartWatch V2,order 34198 smartwatch v2 15 day late order 05 march
180,Facing installation issue with SoundWave 300. Setup fails at step 4.,Installation Issue,Low,SoundWave 300,fac installation issue soundwave 300 setup fail step 4
181,Facing installation issue with RoboChef Blender. Setup fails at step 6.,Installation Issue,Low,RoboChef Blender,fac installation issue robochef blender setup fail step 6
182,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red? Also, I contacted support on 16 March but got no response.",General Inquiry,High,SmartWatch V2,can you tell me more about smartwatch v2 warranty also available red also i contact support 16 march but got no response
183,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,Vision LED TV,cant log my account keep show reset requir help
184,Payment issue for my FitRun Treadmill. I was overbilled for order #81052.,Billing Problem,High,FitRun Treadmill,pay issue my fitrun treadmill i overbill order 81052
185,"I ordered SmartWatch V2 but got PowerMax Battery instead. My order number is #37056. Also, I contacted support on 06 May but got no response.",Wrong Item,Low,SmartWatch V2,i order smartwatch v2 but got powermax battery instead my order number 37056 also i contact support 06 may but got no response
186,PowerMax Battery is not working. It stopped working after just 5 days.,Product Defect,Low,PowerMax Battery,powermax battery work stopp work after just 5 day
187,Order #35506 for EcoBreeze AC is 8 days late. Ordered on 27 March.,Late Delivery,High,EcoBreeze AC,order 35506 ecobreeze ac 8 day late order 27 march
188,RoboChef Blender is malfunction. It stopped working after just 3 days.,Product Defect,High,RoboChef Blender,robochef blender malfunction stopp work after just 3 day
189,Both my PhotoSnap Cam and SoundWave 300 are cracked. Both giving issues. Delivery expected by 17 March.,Product Defect,Medium,PhotoSnap Cam,both my photosnap cam soundwave 300 crack both giv issu delivery expect 17 march
190,Facing installation issue with RoboChef Blender. Setup fails at step 2.,Installation Issue,Medium,RoboChef Blender,fac installation issue robochef blender setup fail step 2
191,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in red?",General Inquiry,High,UltraClean Vacuum,can you tell me more about ultraclean vacuum warranty also available red
192,Facing installation issue with Vision LED TV. Setup fails at step 5.,,Medium,Vision LED TV,fac installation issue vision led tv setup fail step 5
193,I ordered EcoBreeze AC but got PowerMax Battery instead. My order number is #70963.,Wrong Item,Medium,EcoBreeze AC,i order ecobreeze ac but got powermax battery instead my order number 70963
